NAMESPACE              LAST SEEN           TYPE      REASON                  OBJECT                                           MESSAGE
default                33m                 Normal    ExternalProvisioning    PersistentVolumeClaim/netdata-parent-alarms      Waiting for a volume to be created either by the external provisioner 'k8s.io/minikube-hostpath' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
default                33m                 Normal    ProvisioningSucceeded   PersistentVolumeClaim/netdata-k8s-state-varlib   Successfully provisioned volume pvc-29d98ca1-54f4-419c-bae6-a2601a43162a
default                33m                 Normal    Provisioning            PersistentVolumeClaim/netdata-parent-database    External provisioner is provisioning volume for claim "default/netdata-parent-database"
default                33m                 Normal    Provisioning            PersistentVolumeClaim/netdata-parent-alarms      External provisioner is provisioning volume for claim "default/netdata-parent-alarms"
default                33m                 Normal    ExternalProvisioning    PersistentVolumeClaim/netdata-k8s-state-varlib   Waiting for a volume to be created either by the external provisioner 'k8s.io/minikube-hostpath' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
default                33m                 Normal    Provisioning            PersistentVolumeClaim/netdata-k8s-state-varlib   External provisioner is provisioning volume for claim "default/netdata-k8s-state-varlib"
default                33m                 Normal    ProvisioningSucceeded   PersistentVolumeClaim/netdata-parent-alarms      Successfully provisioned volume pvc-36ddd78e-a396-4a89-a15c-f601afbc9a43
default                33m                 Normal    ProvisioningSucceeded   PersistentVolumeClaim/netdata-parent-database    Successfully provisioned volume pvc-66366d0a-a32d-4039-9814-bcf39395ce1c
default                33m                 Normal    ScalingReplicaSet       Deployment/netdata-k8s-state                     Scaled up replica set netdata-k8s-state-7d6df6d887 from 0 to 1
default                33m                 Normal    ExternalProvisioning    PersistentVolumeClaim/netdata-parent-database    Waiting for a volume to be created either by the external provisioner 'k8s.io/minikube-hostpath' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
default                33m                 Normal    Created                 Pod/netdata-child-94jd2                          Container created
default                33m                 Normal    Pulled                  Pod/netdata-child-94jd2                          Successfully pulled image "alpine:latest" in 1.155s (1.155s including waiting). Image size: 8442036 bytes.
default                33m                 Normal    Scheduled               Pod/netdata-parent-867c7fb8df-v5h89              Successfully assigned default/netdata-parent-867c7fb8df-v5h89 to minikube
default                33m                 Normal    SuccessfulCreate        ReplicaSet/netdata-k8s-state-7d6df6d887          Created pod: netdata-k8s-state-7d6df6d887-c8h9d
default                33m                 Normal    SuccessfulCreate        DaemonSet/netdata-child                          Created pod: netdata-child-94jd2
default                33m                 Normal    ScalingReplicaSet       Deployment/netdata-parent                        Scaled up replica set netdata-parent-867c7fb8df from 0 to 1
default                33m                 Normal    SuccessfulCreate        ReplicaSet/netdata-parent-867c7fb8df             Created pod: netdata-parent-867c7fb8df-v5h89
default                33m                 Normal    Scheduled               Pod/netdata-k8s-state-7d6df6d887-c8h9d           Successfully assigned default/netdata-k8s-state-7d6df6d887-c8h9d to minikube
default                33m                 Normal    Scheduled               Pod/netdata-child-94jd2                          Successfully assigned default/netdata-child-94jd2 to minikube
default                33m                 Normal    Pulling                 Pod/netdata-child-94jd2                          Pulling image "alpine:latest"
default                33m                 Normal    Pulled                  Pod/netdata-k8s-state-7d6df6d887-c8h9d           Successfully pulled image "netdata/netdata:v2.9.0" in 1.006s (1.752s including waiting). Image size: 1182500567 bytes.
default                33m                 Normal    Started                 Pod/netdata-child-94jd2                          Container started
default                33m                 Normal    Pulled                  Pod/netdata-parent-867c7fb8df-v5h89              Successfully pulled image "netdata/netdata:v2.9.0" in 1.161s (2.91s including waiting). Image size: 1182500567 bytes.
default                33m                 Normal    Pulled                  Pod/netdata-child-94jd2                          Successfully pulled image "netdata/netdata:v2.9.0" in 1.174s (2.313s including waiting). Image size: 1182500567 bytes.
prod-laia-25-03-2026   27m                 Normal    Pulling                 Pod/load-test-laia-25-03-2026                    Pulling image "busybox"
prod-laia-25-03-2026   27m                 Normal    Scheduled               Pod/load-test-laia-25-03-2026                    Successfully assigned prod-laia-25-03-2026/load-test-laia-25-03-2026 to minikube
prod-laia-25-03-2026   27m                 Normal    Pulled                  Pod/load-test-laia-25-03-2026                    Successfully pulled image "busybox" in 3.911s (3.911s including waiting). Image size: 4421262 bytes.
prod-laia-25-03-2026   27m                 Normal    Created                 Pod/load-test-laia-25-03-2026                    Container created
prod-laia-25-03-2026   27m                 Normal    Started                 Pod/load-test-laia-25-03-2026                    Container started
prod-laia-25-03-2026   24m                 Normal    Killing                 Pod/load-test-laia-25-03-2026                    Stopping container load-test-laia-25-03-2026
prod-laia-25-03-2026   23m                 Normal    Scheduled               Pod/load-test-laia-25-03-2026                    Successfully assigned prod-laia-25-03-2026/load-test-laia-25-03-2026 to minikube
prod-laia-25-03-2026   23m                 Normal    Pulling                 Pod/load-test-laia-25-03-2026                    Pulling image "busybox"
prod-laia-25-03-2026   23m                 Normal    Created                 Pod/load-test-laia-25-03-2026                    Container created
prod-laia-25-03-2026   23m                 Normal    Started                 Pod/load-test-laia-25-03-2026                    Container started
prod-laia-25-03-2026   23m                 Normal    Pulled                  Pod/load-test-laia-25-03-2026                    Successfully pulled image "busybox" in 1.177s (1.177s including waiting). Image size: 4421262 bytes.
default                12m                 Normal    Pulled                  Pod/netdata-k8s-state-7d6df6d887-c8h9d           Successfully pulled image "netdata/netdata:v2.9.0" in 3.091s (3.092s including waiting). Image size: 1182500567 bytes.
default                12m                 Normal    Pulled                  Pod/netdata-child-94jd2                          Successfully pulled image "netdata/netdata:v2.9.0" in 3.792s (5.041s including waiting). Image size: 1182500567 bytes.
default                12m                 Normal    Pulled                  Pod/netdata-parent-867c7fb8df-v5h89              Successfully pulled image "netdata/netdata:v2.9.0" in 2.131s (6.251s including waiting). Image size: 1182500567 bytes.
default                12m (x5 over 33m)   Warning   Unhealthy               Pod/netdata-k8s-state-7d6df6d887-c8h9d           Readiness probe failed: uv_pipe_connect(): no such file or directory
Cannot connect to '/run/netdata/netdata.pipe'.
Make sure the netdata service is running.
default                12m (x3 over 33m)   Warning   Unhealthy               Pod/netdata-parent-867c7fb8df-v5h89              Readiness probe failed: uv_pipe_connect(): no such file or directory
Cannot connect to '/tmp/netdata/netdata.pipe'.
Make sure the netdata service is running.
default                12m (x4 over 33m)   Warning   Unhealthy               Pod/netdata-child-94jd2                          Readiness probe failed: uv_pipe_connect(): no such file or directory
Cannot connect to '/run/netdata/netdata.pipe'.
Make sure the netdata service is running.
default                12m                 Warning   Unhealthy               Pod/netdata-child-94jd2                          Liveness probe failed: uv_pipe_connect(): no such file or directory
Cannot connect to '/run/netdata/netdata.pipe'.
Make sure the netdata service is running.
default                   4m20s (x16 over 28m)   Warning   Unhealthy               Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Liveness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
default                   4m20s (x16 over 28m)   Warning   Unhealthy               Pod/netdata-parent-867c7fb8df-v5h89                     Liveness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
preprod-laia-25-03-2026   3m53s                  Normal    ScalingReplicaSet       Deployment/ecommerce-laia-25-03-2026                    Scaled up replica set ecommerce-laia-25-03-2026-6c9fbc9f56 from 3 to 4
preprod-laia-25-03-2026   3m53s                  Normal    SuccessfulRescale       HorizontalPodAutoscaler/hpa-ecommerce-laia-25-03-2026   New size: 4; reason: cpu resource utilization (percentage of request) above target
preprod-laia-25-03-2026   3m52s                  Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-857pz
